"timeBlock","Jan","Feb","Mar","Apr","May","Jun","July","Aug","Sep","Oct","Nov","Dcb"
"0","55.557594317424474","63.79903502227525","73.5361072538145","78.8196627088957","81.69579988460647","82.06316347641248","80.81175993056952","81.14060346825724","72.91795042653442","73.43957360443369","60.032584942200394","55.918619207401164"
"1","55.34513277000555","63.37623643002605","72.93818279886437","78.2598393061223","81.26349692939625","81.92949825182751","80.45531540114659","80.86830806504688","72.71071087571032","73.0904842431018","59.65540847320229","55.649264848559056"
"2","55.195581222586625","63.20192783777683","72.45278834391428","77.81575590334887","81.06771397418605","81.79175302724255","80.16139087172365","80.40122970166215","72.5867813248862","72.80691488176993","59.398862004204226","55.657800489716934"
"3","55.0228096751677","63.15730924552761","72.03507388896415","77.28944250057548","80.89212101897584","81.7974078026576","79.80290634230073","79.83113133827739","72.3048117740621","72.57449552043803","59.43040553520618","55.713046130874815"
"4","54.884178127748775","63.123220653278395","71.66415943401405","76.81562909780207","80.41058806376564","81.68243257807265","79.71613181287779","79.27003297489263","71.87527222323803","72.39154615910614","59.47256906620813","55.803061772032706"
"5","54.83989658032986","63.04377206102917","71.40163497906393","76.62420569502865","79.82453510855544","81.52953735348767","79.68737728345486","78.69525461150786","71.43865267241392","72.13842679777426","59.50657259721008","55.878047413190586"
"6","54.69622503291094","62.87015346877996","70.9508305241138","76.53454229225522","79.34228215334524","81.51572212890274","79.64908275403195","78.15149624812312","71.03089312158983","71.73482743644236","59.41895612821202","55.94964305434846"
"7","54.550543485492014","62.71762487653074","70.35230606916369","76.44352888948178","79.10863919813502","81.50679690431778","79.610638224609","77.72515788473841","70.82677357076571","71.27068807511046","59.12949965921395","56.02219869550634"
"8","54.532061938073085","62.60640628428154","69.85446161421356","76.36214548670834","78.90808624292482","81.58421167973285","79.59331369518611","77.3409695213537","70.84330401994161","70.95516871377858","58.85612319021587","56.10012433666422"
"9","54.24334039065417","62.38169769203233","69.61950715926345","76.30782208393492","78.7020732877146","81.79272645514791","79.30661916576318","77.21478115796899","70.7242344691175","70.69556935244668","58.75578672121781","56.19628997782211"
"10","53.87055884323526","62.031139099783125","69.41956270431332","76.25946868116148","78.2726503325044","81.92699123056299","78.86146463634024","77.13221279458428","70.47418491829342","70.2784399911148","58.541030252219755","56.26557561898"
"11","53.51940729581634","61.803220507533915","69.1883582493632","76.22707527838803","77.91408737729421","82.08711600597803","78.45864010691731","76.88422443119956","70.44061536746929","69.9941506297829","58.190073783221706","56.31641126013789"
"12","53.160755748397435","61.69560191528471","68.95640379441309","76.1871518756146","77.67759442208398","82.1399307813931","78.10564557749439","76.52079606781481","70.46515581664521","69.869791268451","57.87181731422365","56.323806901295775"
"13","52.810144200978506","61.5532733230355","68.73434933946297","76.12127847284117","77.34528146687377","82.02783555680813","77.73561104807143","76.25744770443009","70.50430626582111","69.7430019071191","57.77571084522559","56.240032542453676"
"14","52.44717265355958","61.34890473078629","68.45937488451284","76.05927507006773","76.90505851166354","81.93143033222317","77.35051651864849","76.00414934104536","70.54270671499702","69.5722925457872","57.829754376227534","55.93530818361156"
"15","52.16181110614065","61.081266138537075","68.28067042956272","75.94159166729432","76.45358555645333","81.92706510763821","76.87203198922552","75.52366097766063","70.48510716417293","69.10803318445534","57.87563790722947","55.45067382476945"
"16","51.90650955872174","60.86627754628786","68.21842597461259","75.53989826452089","76.02980260124312","81.91987988305328","76.42681745980255","75.1693526142759","70.38499761334882","68.64128382312344","57.72295143823141","54.967899465927346"
"17","51.47483801130282","60.473868954038664","68.13362151966247","74.95787486174751","75.5640196460329","81.81087465846831","75.98673293037959","74.93816425089119","70.06630806252473","68.25538446179155","57.421374969233355","54.54260510708524"
"18","51.1513764638839","60.06862036178946","68.03363706471235","74.4657614589741","75.1058266908227","81.64234943388334","75.50335840095661","74.60812588750646","69.64606851170063","67.83408510045967","57.3698185002353","54.139870748243126"
